Epoch,Train_Loss,Val_Accuracy
1,4.480447129440307,32.1
2,2.0609045922088622,87.16
3,1.3065080917358398,90.73
4,1.1740357214355468,91.68
5,1.095297488861084,91.93
6,1.0448560519790648,92.15
7,1.0015288655090333,92.46
8,0.9764483536720275,92.17
9,0.9455766251373291,92.68
10,0.9292919536590576,92.71
11,0.9171820575332642,92.88
12,0.9056498416519165,93.26
13,0.8913326990127564,93.28
14,0.8783482675361634,93.31
15,0.8721942310333252,93.37
16,0.8631083490371704,93.29
17,0.8636408730506897,93.5
18,0.855680189628601,93.61
19,0.8562584099006653,93.64
20,0.8517701594543458,93.66
