Epoch,Train_Loss,Val_Accuracy
1,4.473777726745605,7.5
2,4.289686448364257,11.73
3,4.134072893981934,13.47
4,4.013034046478271,17.67
5,3.8925699391174318,17.71
6,3.791595969467163,21.91
7,3.7027377769470213,23.9
8,3.6190267052459717,26.76
9,3.5346091999816895,28.41
10,3.428234439315796,29.81
11,3.3426631190490723,32.15
12,3.266310580673218,34.49
13,3.1830869343566897,35.32
14,3.1099398723602296,37.27
15,3.0323652783203126,39.67
16,2.9561863929748533,41.94
17,2.8844591635131835,44.36
18,2.818713324432373,45.21
19,2.7455350048065186,45.64
20,2.6713472522735597,46.84
21,2.613749676437378,48.62
22,2.543393599472046,49.58
23,2.4724125582885743,51.39
24,2.4074727043151856,52.37
25,2.3306257847595213,52.41
26,2.2646787257385252,52.95
27,2.1887789449310304,54.76
28,2.1322000814819337,55.03
29,2.046777205924988,55.39
30,1.9921199267578125,56.74
31,1.9220794467163087,56.64
32,1.856406360244751,57.15
33,1.794570513458252,57.57
34,1.733237453804016,57.09
35,1.6673294596099852,58.05
36,1.616834587020874,58.67
37,1.5752170223236084,58.57
38,1.5377688675689698,59.07
39,1.4906272394561768,58.55
40,1.4486941485595703,58.67
41,1.4227742391967773,59.44
42,1.3873546828842163,59.21
43,1.377200464477539,59.79
44,1.347928142967224,59.28
45,1.3396214442062377,59.36
46,1.3267912260437011,59.8
47,1.3103132594299316,59.32
48,1.3061076110076904,59.52
49,1.30331791557312,59.67
50,1.2960016603851319,59.7
