Epoch,Train_Loss,Val_Accuracy
1,4.572331961975098,4.23
2,4.413833903198242,6.31
3,4.27612350982666,8.71
4,4.163752416229248,10.87
5,4.059134888916016,13.07
6,3.951021286621094,15.86
7,3.825242405548096,19.29
8,3.6747390336608885,22.73
9,3.5219005711364746,26.41
10,3.3729152948760985,29.13
11,3.231130257797241,34.07
12,3.096912663116455,36.85
13,2.9718188885498047,40.79
14,2.8653288148498537,43.99
15,2.7683531520080567,44.22
16,2.6870471004486083,46.91
17,2.6112324380493166,49.13
18,2.5429780265808106,51.31
19,2.48792294090271,51.87
20,2.4402469012451173,53.59
21,2.3871568154907226,53.27
22,2.343572900314331,56.08
23,2.30523216545105,56.8
24,2.2580622650146482,57.24
25,2.224817776031494,57.73
26,2.1943101748657226,59.39
27,2.1542767178344726,58.53
28,2.1214809060668944,60.25
29,2.095305087661743,60.78
30,2.058661724624634,61.42
31,2.030497338104248,61.57
32,2.00127628326416,62.38
33,1.9872231369018554,63.08
34,1.9530482228469848,63.62
35,1.9370332963562011,63.69
36,1.9104697236633301,63.95
37,1.893563385848999,64.14
38,1.8703403675842285,64.65
39,1.8566634163284301,65.11
40,1.8365291986083985,65.43
41,1.8187242686462401,65.6
42,1.8077570527648925,65.75
43,1.7939564915466308,66.0
44,1.78789528175354,65.83
45,1.7752912325668335,66.0
46,1.770108832397461,66.15
47,1.762170258102417,65.98
48,1.7583458240127563,66.11
49,1.7583278519439698,66.22
50,1.7576688836669923,66.2
