nohup: 忽略输入
[*] 准备在 cuda 上训练横向对比模型: mobilevit_xxs
正在加载 CIFAR-100 数据集...
Files already downloaded and verified
Files already downloaded and verified
[*] 开始以统一参数训练 mobilevit_xxs 共 50 个 Epochs...
Epoch [1/50] | Train Loss: 4.5723 | Val Accuracy: 4.23%
Epoch [2/50] | Train Loss: 4.4138 | Val Accuracy: 6.31%
Epoch [3/50] | Train Loss: 4.2761 | Val Accuracy: 8.71%
Epoch [4/50] | Train Loss: 4.1638 | Val Accuracy: 10.87%
Epoch [5/50] | Train Loss: 4.0591 | Val Accuracy: 13.07%
Epoch [6/50] | Train Loss: 3.9510 | Val Accuracy: 15.86%
Epoch [7/50] | Train Loss: 3.8252 | Val Accuracy: 19.29%
Epoch [8/50] | Train Loss: 3.6747 | Val Accuracy: 22.73%
Epoch [9/50] | Train Loss: 3.5219 | Val Accuracy: 26.41%
Epoch [10/50] | Train Loss: 3.3729 | Val Accuracy: 29.13%
Epoch [11/50] | Train Loss: 3.2311 | Val Accuracy: 34.07%
