nohup: 忽略输入
[*] 准备在 cuda 上训练横向对比模型: custom_light_vit
正在加载 CIFAR-100 数据集...
Files already downloaded and verified
Files already downloaded and verified
[*] 开始以统一参数训练 custom_light_vit 共 50 个 Epochs...
Epoch [1/50] | Train Loss: 4.5016 | Val Accuracy: 6.95%
Epoch [2/50] | Train Loss: 4.3387 | Val Accuracy: 10.95%
Epoch [3/50] | Train Loss: 4.2115 | Val Accuracy: 12.91%
Epoch [4/50] | Train Loss: 4.0829 | Val Accuracy: 14.44%
Epoch [5/50] | Train Loss: 3.9560 | Val Accuracy: 19.18%
Epoch [6/50] | Train Loss: 3.8194 | Val Accuracy: 21.59%
Epoch [7/50] | Train Loss: 3.7108 | Val Accuracy: 23.95%
Epoch [8/50] | Train Loss: 3.6141 | Val Accuracy: 26.56%
Epoch [9/50] | Train Loss: 3.5121 | Val Accuracy: 26.84%
Epoch [10/50] | Train Loss: 3.4358 | Val Accuracy: 29.67%
Epoch [11/50] | Train Loss: 3.3395 | Val Accuracy: 31.57%
Epoch [12/50] | Train Loss: 3.2695 | Val Accuracy: 33.37%
Epoch [13/50] | Train Loss: 3.1852 | Val Accuracy: 38.09%
Epoch [14/50] | Train Loss: 3.1243 | Val Accuracy: 38.08%
Epoch [15/50] | Train Loss: 3.0468 | Val Accuracy: 41.91%
Epoch [16/50] | Train Loss: 2.9688 | Val Accuracy: 41.83%
Epoch [17/50] | Train Loss: 2.9101 | Val Accuracy: 43.55%
Epoch [18/50] | Train Loss: 2.8389 | Val Accuracy: 44.69%
Epoch [19/50] | Train Loss: 2.7786 | Val Accuracy: 47.06%
Epoch [20/50] | Train Loss: 2.7149 | Val Accuracy: 48.07%
